#if TAG_MAJOR_VERSION == 34
    {SP_HIGH_ELF,        SK_FIGHTING,        0},
    {SP_HIGH_ELF,        SK_SHORT_BLADES,    2},
    {SP_HIGH_ELF,        SK_LONG_BLADES,     2},
    {SP_HIGH_ELF,        SK_AXES,           -2},
    {SP_HIGH_ELF,        SK_MACES_FLAILS,   -2},
    {SP_HIGH_ELF,        SK_POLEARMS,       -2},
    {SP_HIGH_ELF,        SK_STAVES,          0},
    {SP_HIGH_ELF,        SK_SLINGS,         UNUSABLE_SKILL},
    {SP_HIGH_ELF,        SK_RANGED_WEAPONS,  3},
    {SP_HIGH_ELF,        SK_CROSSBOWS,      UNUSABLE_SKILL},
    {SP_HIGH_ELF,        SK_THROWING,        0},
    {SP_HIGH_ELF,        SK_ARMOUR,         -1},
    {SP_HIGH_ELF,        SK_DODGING,         1},
    {SP_HIGH_ELF,        SK_STEALTH,         2},
    {SP_HIGH_ELF,        SK_STABBING,      UNUSABLE_SKILL},
    {SP_HIGH_ELF,        SK_SHIELDS,        -1},
    {SP_HIGH_ELF,        SK_TRAPS,         UNUSABLE_SKILL},
    {SP_HIGH_ELF,        SK_UNARMED_COMBAT, -2},
    {SP_HIGH_ELF,        SK_SPELLCASTING,    1},
    {SP_HIGH_ELF,        SK_CONJURATIONS,    1},
    {SP_HIGH_ELF,        SK_HEXES,           0},
    {SP_HIGH_ELF,        SK_CHARMS,        UNUSABLE_SKILL},
    {SP_HIGH_ELF,        SK_SUMMONINGS,     -1},
    {SP_HIGH_ELF,        SK_NECROMANCY,     -2},
    {SP_HIGH_ELF,        SK_FORGECRAFT,      0},
    {SP_HIGH_ELF,        SK_TRANSLOCATIONS,  1},
    {SP_HIGH_ELF,        SK_FIRE_MAGIC,      0},
    {SP_HIGH_ELF,        SK_ICE_MAGIC,       0},
    {SP_HIGH_ELF,        SK_AIR_MAGIC,       2},
    {SP_HIGH_ELF,        SK_EARTH_MAGIC,    -2},
    {SP_HIGH_ELF,        SK_ALCHEMY,   -2},
    {SP_HIGH_ELF,        SK_INVOCATIONS,     1},
    {SP_HIGH_ELF,        SK_EVOCATIONS,      0},
    {SP_HIGH_ELF,        SK_SHAPESHIFTING,  -1},
    {SP_SLUDGE_ELF,      SK_FIGHTING,        1},
    {SP_SLUDGE_ELF,      SK_SHORT_BLADES,   -1},
    {SP_SLUDGE_ELF,      SK_LONG_BLADES,    -1},
    {SP_SLUDGE_ELF,      SK_AXES,           -2},
